bank_txn_id,narration,credit_amount,credited_at
BANK-001,NEFT RAZORPAY SETTLEMENT SET-001,976.4,2026-08-26T12:00:00
BANK-002,NEFT RAZORPAY SETTLEMENT SET-002,2441,2026-08-28T12:00:00
BANK-003,NEFT RAZORPAY SETTLEMENT SET-003,781.12,2026-08-26T12:00:00
BANK-004,NEFT RAZORPAY SETTLEMENT SET-004,488.2,2026-08-26T12:00:00
BANK-005,NEFT RAZORPAY SETTLEMENT SET-005,4882,2026-08-29T12:00:00
BANK-006,NEFT CREDIT,976.4,2026-08-26T12:00:00
BANK-007,NEFT RAZORPAY SETTLEMENT SET-007,1900,2026-08-26T12:00:00
BANK-008,IMPS RAZORPAY PAYOUT,1464.6,2026-08-27T12:00:00
BANK-009,NEFT RAZORPAY SETTLEMENT SET-009,732.3,2026-08-27T12:00:00
BANK-010,NEFT RAZORPAY SETTLEMENT SET-010,9764,2026-08-25T12:00:00
BANK-011,NEFT RAZORPAY SETTLEMENT SET-011,2196.9,2026-08-26T12:00:00
BANK-012,NEFT RAZORPAY SETTLEMENT SET-012,1171.68,2026-08-26T12:00:00
BANK-013,NEFT RAZORPAY SETTLEMENT SET-013,3905.6,2026-08-26T12:00:00
BANK-014,NEFT RAZORPAY SETTLEMENT SET-014,1757.52,2026-08-26T12:00:00
BANK-015,NEFT RAZORPAY SETTLEMENT SET-015,NOT_A_NUMBER,2026-08-26T12:00:00
