payment_event_id,payment_id,order_id,captured_amount,status,captured_at
evt_pay_001,PAY-001,ORD-001,1000,captured,2026-08-25T10:00:00
evt_pay_002,PAY-002,ORD-002,2500,captured,2026-08-25T11:00:00
evt_pay_003,PAY-003,ORD-003,1000,captured,2026-08-24T14:00:00
evt_pay_004,PAY-004,ORD-004,500,captured,2026-08-25T09:30:00
evt_pay_005,PAY-005,ORD-005,5000,captured,2026-08-20T16:00:00
evt_pay_006,PAY-006,ORD-006,1000,captured,2026-08-25T10:15:00
evt_pay_007,PAY-007,ORD-007,2000,captured,2026-08-25T10:30:00
evt_pay_008,PAY-008,ORD-008,1500,captured,2026-08-25T10:45:00
evt_pay_009,PAY-009,ORD-009,750,captured,2026-08-26T09:00:00
evt_pay_010,PAY-010,ORD-010,10000,captured,2026-08-22T13:00:00
evt_pay_011,PAY-011,ORD-011,3000,captured,2026-08-24T12:00:00
evt_pay_012,PAY-012,ORD-012,1200,captured,2026-08-25T11:30:00
evt_pay_012,PAY-012,ORD-012,1200,captured,2026-08-25T11:30:00
evt_pay_013,PAY-013,ORD-013,4000,captured,2026-08-25T12:30:00
evt_pay_014,PAY-014,ORD-014,1800,failed,2026-08-25T13:00:00
evt_pay_015,PAY-015,ORD-015,2200,captured,2026-08-25T13:30:00
