settlement_id,payment_id,gross_amount,fee_amount,gst_on_fee,net_amount,settlement_status,settled_at
SET-001,PAY-001,1000,20,3.6,976.4,settled,2026-08-26T09:00:00
SET-002,PAY-002,2500,50,9,2441,settled,2026-08-28T09:00:00
SET-003,PAY-003,1000,16,2.88,781.12,settled,2026-08-26T09:00:00
SET-004,PAY-004,500,10,1.8,488.2,settled,2026-08-26T09:00:00
SET-005,PAY-005,5000,100,18,4882,settled,2026-08-29T09:00:00
SET-006,PAY-006,1000,20,3.6,976.4,settled,2026-08-26T09:00:00
SET-007,PAY-007,2000,40,7.2,1952.8,settled,2026-08-26T09:00:00
SET-008,PAY-008,1500,30,5.4,1464.6,settled,2026-08-27T09:00:00
SET-009,PAY-009,750,15,2.7,732.3,settled,2026-08-27T09:00:00
SET-010,PAY-010,10000,200,36,9764,settled,2026-08-25T09:00:00
SET-011,PAY-011,3000,45,8.1,2196.9,settled,2026-08-26T09:00:00
SET-012,PAY-012,1200,24,4.32,1171.68,settled,2026-08-26T09:00:00
SET-013,,4000,80,14.4,3905.6,settled,2026-08-26T09:00:00
SET-014,PAY-014,1800,36,6.48,1757.52,settled,2026-08-26T09:00:00
SET-015,PAY-015,2200,44,7.92,2148.08,settled,2026-08-26T09:00:00
